wbcode,country,areakm2,cen_lat,cen_lon,elev,distcr,distc,distr,tropicar,troppop,lc100km,lcr100km,pop95,pdenpavg,pop100km,pop100cr,cen_c,cen_cr
"CAN","Canada",9590309,61.06258,-98.37773,487.6221,1466.67,1567.98,1690.72,0,0,.0233856,.063254,2.76e+07,883.357,.11,.68,1712.84,3013.38
"CHE","Switzerland",41452.37,46.83931,8.354403,1369.6,123.443,279.255,123.915,0,0,0,.3636704,7423690,380.218,0,.39,116.085,264.711
"CHL","Chile",668868.7,-35.81583,-70.89063,1871.129,112.301,111.604,1532.05,.1858728,.0384461,.568572,.5821023,1.33e+07,210.804,.41,.41,168.764,167.6
"CHN","China",9344594,36.59114,103.9404,1839.95,765.061,1090.58,871.236,.0319153,.0673989,.0513051,.129072,1.16e+09,787.353,.19,.45,955.519,1533.71
"CIV","Ivory Coast",313565.6,7.611573,-5.326017,250.7441,272.162,280.47,400.012,1,1,.1676683,.1771559,1.26e+07,134.637,.37,.37,274.059,273.672
"CMR","Cameroon",463006.3,5.680264,12.92409,667.4828,405.651,453.531,729.264,1,1,.0974069,.1286699,1.27e+07,95.794,.13,.15,337.583,410.495
"COG","Congo",329168.3,-.878413,15.33877,430.1534,507.805,530.122,612.169,1,1,.046177,.0477719,2390112,2124.971,.16,.18,568.833,568.904
"COL","Colombia",1153540,3.881151,-72.86671,593.12,200.267,422.649,329.266,1,1,.1571684,.270992,3.84e+07,142.511,.24,.25,355.784,464.536
"CRI","Costa Rica",50525.34,10.0115,-83.95204,746.2103,35.7302,35.4753,1025.33,1,1,.9985089,.9985089,3454519,1043.337,1,1,63.7253,63.4968
"CUB","Cuba",100428.7,21.69808,-78.7944,108.2346,21.0312,21.2422,649.462,1,1,1,1,8918043,364.518,1,1,3.90471,3.33981
"CYP","Cyprus",9181.428,35.03115,33.29025,9.1667,11.0395,10.9391,555.636,0,0,.9856855,.9856855,634192,85.323,1,1,27.3546,29.9119
"CZE","Czech Republic",80164.98,49.77929,15.54208,433.0312,76.9749,434.554,76.9749,0,0,0,.7384771,1.08e+07,151.248,0,.75,118.291,447.847
"DEU","Germany",349898,51.08291,10.55751,270.8496,41.1696,255.971,46.98,0,0,.1684777,.9425605,8.05e+07,1002.996,.1,.95,109.239,313.665
"DJI","Djibouti",21507.87,11.70233,42.77842,430.256,35.2189,35.2859,1762.04,1,1,.9787117,.9845235,469535,174.872,1,1,1.60821,1.04331
"DNK","Denmark",32407.53,56.11416,9.969104,34.2589,22.7144,22.5183,295.581,0,0,1,1,3063775,324.48,1,1,29.7443,29.5371
"DOM","Dominican Republic",45356.82,18.95221,-70.3202,424.8582,29.725,30.1839,1013.64,1,1,1,1,6446586,771.848,1,1,65.8708,67.7233
"DZA","Algeria",2309484,28.14225,2.828547,572.8028,765.93,765.875,1353.35,.1666558,.0046121,.0427152,.0432348,2.50e+07,340.084,.68,.68,909.241,909.982
"ECU","Ecuador",248705.8,-1.462879,-78.18696,1117.178,185.354,188.69,623.703,1,1,.345589,.352927,1.06e+07,99.502,.51,.51,214.5,214.661
"EGY","Egypt",1000480,26.40978,30.0268,321.5979,224.202,331.364,297.883,.1982739,.0130164,.2225183,.3805425,5.99e+07,1546.126,.52,.99,145.243,398.538
"ERI","Eritrea",128503.3,15.25868,39.17321,853.3859,93.3819,93.3543,1210.58,1,1,.5700245,.5700245,3408686,140.044,.77,.77,48.5299,48.463
"ESP","Spain",485472.7,40.40164,-3.390135,704.6398,122.18,141.557,271.12,0,0,.3920406,.4532696,3.29e+07,278.701,.62,.66,319.851,332.74
"EST","Estonia",38744.69,58.63206,25.98764,61.9125,84.0404,507.834,168.64,0,0,.7130009,.7162271,1207118,36.487,.66,.66,105.046,500.491
"ETH","Ethiopia",1135775,8.56201,39.80767,1330.062,492.78,492.893,1911.57,1,1,.0149898,.0151879,5.52e+07,456.071,.02,.02,466.815,466.808
"FIN","Finland",333517.9,64.42968,26.44841,164.483,181.67,494.863,314.631,0,0,.2971355,.3000589,5002353,547.547,.64,.64,123.418,640.179
"FRA","France",550787.7,46.53078,2.715019,375.12,53.7245,183.881,83.0762,0,0,.3370173,.8426569,5.67e+07,2368.794,.32,.9,63.8524,360.535
"GAB","Gabon",255991.3,-.650479,11.99441,377.5402,236.024,240.752,595.014,1,1,.2581143,.2640715,652965,8.328,.28,.28,272.859,273.628
"GBR","United Kingdom",219140.8,53.88718,-2.593516,162.5733,29.4346,45.0175,111.003,0,0,.9109442,.9986733,5.20e+07,1408.95,.8,1,33.2369,30.7161
"GEO","Georgia",72279.36,42.18116,43.77198,1432.375,240.333,239.982,583.045,0,0,.2971111,.3047205,5220455,83.882,.27,.27,220.703,220.328
"GHA","Ghana",235516,7.941534,-1.008413,190.3197,277.571,278.51,748.374,1,1,.1955281,.1955281,1.70e+07,394.435,.45,.45,277.436,277.579
"GIN","Guinea",253825.2,10.4008,-10.65598,472.8062,280.026,307.53,309.845,1,1,.1329655,.1599526,7130900,37.141,.24,.25,320.162,320.507
"GMB","Gambia, The",10013.55,13.45759,-15.29753,34.4685,26.2397,139.565,36.5791,1,1,.4219283,1,925734,105.786,.58,1,5.71517,153.433
"GNB","Guinea-Bissau",28226.06,12.07582,-14.64071,70.4717,42.2559,95.8202,55.1712,1,1,.63328,1,697474,608.436,.67,.99,40.6199,85.2948
"GNQ","Equatorial Guinea",24629.74,1.6366,10.47573,577.8627,85.1343,93.6838,586.639,1,1,.6638315,.7633047,266974,16.751,.52,.61,72.96,80.8615
"GRC","Greece",105139.9,39.16258,22.8815,498.576,41.1515,41.4147,518.77,0,0,.9206785,.9242452,7422714,337.382,.97,.97,4.36763,3.75444
"GRL","Greenland",2089010,74.70258,-41.20144,1792.64,2225.24,1919.15,3784.59,0,0,0,0,11941,120.339,0,0,2149.09,2108.47
"GTM","Guatemala",108418.3,15.74233,-90.17939,759.6279,104.895,105.096,1494.16,1,1,.4122921,.4127533,9818430,1332.092,.7,.7,141.336,140.738
"GUF","French Guiana",82675.75,3.85588,-52.9711,168.1815,128.254,128.53,607.139,1,1,.4045926,.4045926,90840,1.576,.44,.44,134.192,134.158
"GUY","Guyana",209804.9,4.736548,-58.70181,207.0553,229.74,233.476,494.277,1,1,.2200854,.2200854,808542,26.583,.43,.43,215.598,215.443
"HND","Honduras",113208,14.83656,-86.45557,684.9241,79.8539,79.3624,1344.31,1,1,.6706684,.6726559,5613469,218.779,.69,.69,107.382,107.947
"HRV","Croatia",53732.65,45.11008,16.65255,331.5601,33.8831,146.434,77.042,0,0,.4708497,1,4232091,84.877,.45,1,23.683,170.242
"HTI","Haiti",25683.41,18.97583,-72.49051,470.0736,24.8002,24.7766,924.246,1,1,1,1,6620034,249.957,1,1,13.5595,13.7275
"HUN","Hungary",95568.61,47.20927,19.61035,143.5822,48.7502,507.231,48.7502,0,0,0,.8998771,1.06e+07,180.36,0,.93,57.0677,517.913
"IDN","Indonesia",1697375,-1.656184,116.2783,367.1235,76.1845,76.1189,2140.52,1,1,.7185505,.7217466,1.54e+08,2211.577,.95,.95,61.8409,62.343
"IND","India",3151251,22.93229,79.81261,621.8081,342.615,463.794,847.383,.5121367,.5036482,.158802,.2498452,9.12e+08,1060.156,.22,.38,574.535,688.661
"IRL","Ireland",67816.94,53.16337,-7.962816,112.422,43.6382,43.6604,524.333,0,0,.909065,.9112768,3272256,100.953,.94,.94,124.336,124.351
"IRN","Iran",1614726,32.52137,54.4892,1305.438,493.337,494.476,2130.76,0,0,.1087801,.1098019,6.09e+07,125.825,.06,.06,544.718,544.91
"IRQ","Iraq",441138.6,32.94807,43.98814,312.0478,500.556,500.902,1328.71,0,0,.0203451,.0205151,2.01e+07,474.384,.05,.06,567.207,566.372
"ISL","Iceland",100376.3,64.91957,-18.30472,557.4451,46.461,46.3174,1726.5,0,0,.9013584,.9043472,193187,1.745,.89,.9,96.3826,92.0443
"ISR","Israel",31135.02,31.41497,35.20982,508.4611,69.5361,67.5578,469.932,0,0,.9250034,.9378507,8356324,727.106,.96,.96,70.3196,67.7666
"ITA","Italy",296127.4,42.8799,12.26618,538.7296,51.6288,64.6441,363.988,0,0,.7748354,.8601027,5.43e+07,465.553,.74,.91,92.7938,92.9436
"JAM","Jamaica",9036.614,18.18711,-77.14758,18.125,12.2525,12.2341,841.108,1,1,1,1,2019293,562.018,1,1,23.511,23.685
"JOR","Jordan",89520.54,31.15849,37.03277,812.3271,235.173,234.394,653.806,0,0,.122039,.1318133,5205685,180.337,.04,.04,268.139,266.522
"JPN","Japan",358359,36.95516,138.8538,438.3172,39.7921,39.7385,2037.14,0,0,.9458391,.9487692,1.12e+08,1949.954,.97,.97,21.7038,22.2687
"KAZ","Kazakhstan",2707851,48.19005,67.56078,387.1949,2291.68,2374.23,2469.88,0,0,0,0,1.69e+07,28.896,0,0,2517.03,2516.49
"KEN","Kenya",597289.1,.422123,38.00729,762.8491,434.265,434.531,2497.85,1,1,.0873111,.0876041,2.74e+07,484.048,.07,.08,419.836,419.018
"KGZ","Kyrgyzstan",196275.6,41.4894,74.82347,2988.048,1894.97,2011.94,1999.24,0,0,0,0,4725230,71.039,0,0,1981.66,1999.94
"KHM","Cambodia",182318.4,12.69332,105.0368,126.4433,147.114,187.759,188.946,1,1,.2427072,.378733,1.03e+07,345.353,.25,.67,126.802,230.32
"KOR","Korea, Republic of",91305.98,36.44823,127.9445,282.3633,52.9981,53.5464,923.128,0,0,.8843889,.8923292,3.94e+07,8476.049,.94,.94,121.478,122.243
"KWT","Kuwait",16132.77,29.16276,47.76117,108.2327,34.0444,34.0617,1701.96,0,0,.9390823,.9452809,1299183,93.632,.99,1,29.2608,29.4577
"LAO","Laos",231129.8,18.45496,103.8726,710.2068,267.998,284.424,381.161,1,1,.0553801,.0553801,5616819,46.551,.08,.08,204.127,203.617
"LBN","Lebanon",10254.41,33.79037,35.97676,1249.193,44.1346,44.1346,666.651,0,0,1,1,2617538,287.547,1,1,45.34,46.1333
"LBR","Liberia",91042.59,6.42535,-9.062141,243.6676,87.4266,111.199,109.042,1,1,.5371113,.6760573,1780623,63.198,.57,.66,115.635,115.667
"LBY","Libya",1618321,26.98762,18.17615,423.6434,495.727,501.24,1374.56,.1503098,.0057615,.0955929,.0962881,4453039,128.419,.61,.61,371.146,371.554
"LKA","Sri Lanka",61956.17,7.574198,80.88004,228.2774,38.9524,38.9318,1848.64,1,1,.9914267,.9922337,1.58e+07,404.593,.99,.99,85.3976,85.0914
"LSO","Lesotho",30447.95,-29.69117,28.43221,2160.854,238.319,238.929,765.69,0,0,0,0,1868636,107.483,0,0,242.934,242.184
"LTU","Lithuania",64801.55,55.34566,24.0644,110.2539,60.4537,313.043,62.7719,0,0,.1701348,.8634052,3739607,57.794,.15,.84,35.5569,309.396
"LUX","Luxembourg",2696.434,49.77865,6.299706,325.02,22.3941,286.785,22.3941,0,0,0,1,387508,368.877,0,1,17.2037,286.94
"LVA","Latvia",62352.89,56.84956,25.17145,95.893,127.878,409.483,152.512,0,0,.4755193,.4851419,2336933,41.272,.43,.44,94.5735,399.807
"MAR","Morocco",411474.1,31.82548,-6.103897,909.5137,178.334,177.801,638.872,0,0,.3543966,.3599255,2.47e+07,567.069,.6,.6,246.757,245.301
"MDA","Moldova",32540.86,47.20438,28.66198,139.3979,28.0568,206.55,28.3753,0,0,.0676073,1,4261186,131.784,.12,1,44.1076,204.362
"MDG","Madagascar",579021.4,-19.43329,46.92276,615.2372,97.8166,97.6596,1631.05,.8765326,.9094664,.5609897,.5666026,1.31e+07,187.858,.49,.5,213.578,212.847
"MEX","Mexico",1923122,23.92078,-102.3029,1110.936,207.121,207.17,1224.54,.4718198,.7991761,.3694644,.3726493,8.90e+07,3337.202,.29,.29,407.959,408.315
"MKD","Macedonia",25823,41.57381,21.90599,741.545,142.786,142.497,278.238,0,0,.1316656,.13457,1966197,78.19,.16,.17,138.607,137.767
"MLI","Mali",1249355,17.32995,-3.310206,343.7438,1036.45,1074.26,1163.95,.962525,.9999512,0,0,9921555,44.8,0,0,1245.46,1334.45
"MMR","Myanmar",656424.2,21.16859,96.67485,702.4269,261.538,347.742,336.075,.7540253,.9384732,.2639681,.2812968,4.14e+07,1735.391,.3,.33,350.676,350.861
"MNG","Mongolia",1558417,46.85329,103.2651,1527.99,1675.81,1855.69,1679.42,0,0,0,0,2448837,4.128,0,0,1747.43,1824.41
"MON","Montenegro",13995.82,42.78899,19.45217,1086.725,84.7841,84.83,220.418,0,0,.7037815,.721644,652565,70.926,.6,.6,83.2495,82.9938
"MOZ","Mozambique",781072.6,-17.2915,35.73423,345.2476,203.434,216.222,805.497,.902176,.8085127,.2845766,.3381888,1.58e+07,35.217,.45,.5,159.811,160.309
"MRT","Mauritania",1022853,20.27244,-10.07208,276.0194,543.985,591.906,726.632,.8267799,.9978084,.0538934,.064892,2035737,6.702,.12,.16,670.845,674.544
"MWI","Malawi",110956.3,-13.52912,34.49026,779.0389,519.043,521.848,1113.46,1,1,0,0,9570817,190.251,0,0,556.516,558.647
"MYS","Malaysia",323151.4,2.164833,112.1246,419.6467,71.7327,71.5055,1061.3,1,1,.7790465,.7861639,1.73e+07,162.355,.89,.89,165.802,166.452
"NAM","Namibia",802492.1,-22.10414,17.41117,1141.045,358.947,359.305,1348.38,.6634637,.8986858,.1586308,.16293,1494082,7.711,.04,.04,327.963,327.569
"NER","Niger",1182223,17.42163,9.57933,474.3347,1180.26,1197.49,1348.56,1,1,0,0,9100190,50.771,0,0,1291.94,1346.76
"NGA","Nigeria",908399.1,9.584548,8.283735,380.1505,473.06,498.793,519.239,1,1,.0986901,.1311648,9.83e+07,287.769,.23,.32,418.318,500.561
"NIC","Nicaragua",121810.7,12.86155,-84.8978,298.3099,83.9011,84.2195,1145.99,1,1,.6132467,.6202248,4284387,167.507,.71,.71,135.506,134.77
"NLD","Netherlands",32983.36,52.20938,5.817317,30.1257,28.6708,67.3148,56.752,0,0,.8405755,1,1.45e+07,661.153,.79,1,28.2852,37.5317
"NOR","Norway",349504.6,67.46999,15.77302,566.7679,332.584,89.2999,1085.44,0,0,.5436982,.5498497,3486129,325.528,.85,.85,13.7428,14.0767
"NPL","Nepal",147402.7,28.29898,84.17288,2565.382,288.941,825.382,288.941,0,0,0,0,2.05e+07,332.996,0,.06,235.123,822.503
"NZL","New Zealand",249003.8,-41.81407,172.8989,388.3524,39.581,39.504,9407.09,0,0,.9594232,.9609292,2382956,296.42,.99,.99,53.3727,53.5736
"OMN","Oman",309426.8,20.43169,56.13801,310.0209,110.127,110.358,2620.31,.9346141,.6457827,.4586707,.4593979,1487799,6.785,.51,.52,188.744,188.022
"PAK","Pakistan",871273.6,29.92077,69.55596,1018.028,637.725,644.27,1714.63,0,0,.1024936,.1031249,1.39e+08,750.779,.08,.09,594.505,594.369
"PAN","Panama",73322.34,8.571656,-79.91072,359.6746,20.4568,20.4908,638.593,1,1,1,1,2472375,1537.628,1,1,3.46468,3.72244
"PER","Peru",1302897,-9.184011,-74.14007,1555.255,254.983,368.049,679.183,1,1,.1703703,.2413467,2.27e+07,91.359,.49,.49,435.916,434.819
"PHL","Philippines",232172.8,11.07385,122.9869,441.9939,27.3757,27.2979,1670.54,1,1,.9991481,1,4.70e+07,1634.493,1,1,37.5685,37.5163
"PNG","Papua New Guinea",422882.3,-6.622849,144.8267,667.6198,79.6111,80.0078,4671.28,1,1,.6573342,.6573342,3605504,8.816,.67,.67,111.904,111.498
"POL","Poland",305676.3,52.13558,19.64129,171.6889,60.476,279.241,68.9903,0,0,.1553113,.8349518,3.77e+07,238.576,.11,.88,41.8924,229.489
"PRI","Puerto Rico",7955.576,18.27634,-66.32443,261.597,12.108,11.9311,1049.26,1,1,1,1,3222104,386.678,1,1,23.3441,19.7771
"PRK","Korea, Democratic People's Repu",126959.7,40.12843,127.25,599.3386,69.7366,70.2032,1038.77,0,0,.7311375,.7338942,2.20e+07,344.699,.83,.84,52.5682,51.7286
"PRT","Portugal",93102.51,39.68874,-7.761424,372.4704,92.9028,104.739,162.932,0,0,.5955801,.6670067,8108238,534.029,.82,.87,131.204,129.328
"PRY","Paraguay",402937.7,-23.20267,-58.16898,178.6918,171.161,961.766,171.161,.5700223,.0799566,0,.3259189,4875507,262.73,0,.51,46.4749,1086.08
"QAT","Qatar",10104.55,25.22526,51.43264,27.8971,14.1758,14.2179,2060.64,0,0,1,1,450915,41.258,1,1,9.62713,9.013941
"ROM","Romania",231660.4,45.91273,25.17804,414.0516,110.138,389.885,111.125,0,0,.0675558,.4687896,2.25e+07,297.975,.06,.52,236.095,426.401
"RUS","Russia",1.66e+07,61.69945,96.85802,372.5321,2385.58,2325.4,3227.86,0,0,.0170628,.0201009,1.45e+08,71.496,.06,.07,3374.99,3418.48
"RWA","Rwanda",27283.81,-2.075834,30.07077,1598.151,1057.96,1057.96,1906.86,1,1,0,0,5751465,374.062,0,0,1057.61,1056.86
"SAU","Saudi Arabia",1912761,23.93345,44.67511,665.2062,341.327,341.353,1361.73,.4856433,.6937998,.1160103,.1179055,1.80e+07,55.333,.23,.23,620.732,621.155
"SDN","Sudan",2507269,13.76948,30.21578,568.4538,962.166,1004.52,1260.65,1,1,.0224547,.0224547,2.68e+07,145.325,.02,.02,977.884,982.122
"SEN","Senegal",211298.5,14.45408,-14.23445,69.0371,107.65,236.727,114.307,1,1,.2411281,.5812867,6653798,105.8,.51,.82,106.776,276.586
"SLE","Sierra Leone",69097.91,8.542245,-11.50973,279.3589,127.327,131.097,226.005,1,1,.4450206,.4631109,3239925,83.261,.49,.5,155.224,155.431
"SLV","El Salvador",20886.14,13.78259,-88.68198,442.0164,44.2959,44.675,1567.77,1,1,.9874971,.989891,5549905,619.463,.98,.98,52.9227,52.6044
"SOM","Somalia",639620.6,6.04322,46.05885,409.9049,117.899,118.176,2512.82,1,1,.4519867,.4523776,8172510,590.705,.6,.6,268.276,268.741
"SRB","Serbia",88010.47,44.04673,20.98854,442.0694,78.9691,297.913,85.3824,0,0,.0028406,.6252097,9833260,117.126,0,.58,69.5037,293.118
"SUR","Suriname",149500.3,4.100801,-55.62511,246.0742,196.855,196.817,656.596,1,1,.2493306,.2499995,408338,130.176,.76,.76,198.643,199.208
"SVK","Slovakia",47843.81,48.78538,19.75068,458.604,77.4823,577.929,77.4823,0,0,0,.7054204,5153558,119.324,0,.76,127.447,601.724
"SVN","Slovenia",20440.81,46.1279,15.01091,492.6379,37.6239,112.123,41.1671,0,0,.5919532,.9869963,2111084,111.564,.58,.98,2.94429,103.621
"SWE","Sweden",433618.7,62.74554,16.85663,320.0909,160.269,210.719,650.845,0,0,.3094309,.3113911,8038123,600.744,.69,.7,89.9304,92.5135
"SWZ","Swaziland",17183.7,-26.65228,31.70391,305.4435,110.12,110.12,275.728,0,0,.2691505,.2691505,901814,56.778,.36,.38,114.889,114.695
"SYR","Syria",193961.3,34.93253,38.6837,513.9543,301.359,300.673,924.641,0,0,.1404919,.146421,1.44e+07,150.554,.24,.24,298.028,298.422
"TCD","Chad",1268417,15.31419,18.80826,543.3225,1275.02,1319.58,1494.51,1,1,0,0,6825126,17.173,0,0,1570.78,1625.65
"TGO","Togo",60296.58,8.554329,1.15643,236.986,261.366,261.865,674.553,1,1,.1641884,.1641884,4028971,270.527,.42,.42,262.567,263.049
"THA","Thailand",506001.2,15.07886,101.1403,287.408,214.576,216.62,360.052,1,1,.2817681,.2874993,5.60e+07,802.39,.39,.4,158.584,167.051
"TJK","Tajikistan",146659.2,38.51173,71.27879,3185.92,1548.18,1548.71,1970.86,0,0,0,0,6004635,84.891,0,0,1535.63,1535.31
"TKM","Turkmenistan",476077.4,39.12938,59.70275,229.8245,1348.13,1348.13,2272.96,0,0,0,0,4576321,33.585,0,0,1363.82,1363.42
"TTO","Trinidad",4856.996,10.4183,-61.28806,83.275,7.95231,7.79704,75.7493,1,1,.9934124,.9934124,1060295,243.414,1,1,18.9089,19.5221
"TUN","Tunisia",155244.6,34.09485,9.744864,246.5449,108.772,108.762,1191.08,0,0,.4652336,.4676492,8336720,603.482,.84,.85,32.5936,31.9804
"TUR","Turkey",790418.8,39.01938,35.35951,1167.001,160.468,160.191,675.964,0,0,.3849858,.3888762,6.08e+07,269.244,.53,.53,240.151,241.986
"TWN","Taiwan",32920.32,23.64485,121.0021,1150.337,27.1171,27.0496,652.826,.4370258,.3406767,.9986233,.9986233,1.66e+07,1759.225,1,1,56.8459,56.069
"TZA","Tanzania, United Republic of",944552.2,-6.396083,34.99544,1018.109,477.395,477.478,1892.58,1,1,.084855,.084855,2.77e+07,195.197,.16,.16,420.997,420.431
"UGA","Uganda",240491.6,1.218088,32.52088,1200.948,969.328,969.334,2252.81,1,1,0,0,1.96e+07,364.101,0,0,959.666,958.866
"UKR","Ukraine",586548.7,49.06238,31.56075,176.7859,74.5367,343.38,100.476,0,0,.180846,.7488722,4.96e+07,109.168,.19,.71,56.0972,257.854
"URY","Uruguay",175471.3,-32.86667,-55.79351,109.6395,120.051,176.019,262.823,0,0,.3261216,.4849795,3179584,849.747,.75,.8,213.264,212.699
"USA","United States",9400722,45.62477,-112.103,725.6519,446.154,761.913,1280.49,.0015154,.0026315,.1074093,.2766277,2.48e+08,713.411,.35,.65,1148.69,1149.42
"UZB","Uzbekistan",445830.2,41.76587,63.48811,420.015,1719.54,1719.46,2384.25,0,0,0,0,2.15e+07,169.174,0,0,1779.9,1779.65
"VEN","Venezuela",929507.1,7.075953,-65.91198,448.6651,127.57,322.41,172.771,1,1,.2392666,.5464994,1.98e+07,271.227,.69,.83,69.5386,342.883
"VNM","Vietnam",333167.8,16.68808,106.4097,398.3443,79.9946,109.805,217.74,1,1,.5503984,.6291875,6.79e+07,1248.05,.84,.92,80.003,79.9898
"WSH","Western Sahara",265726.6,24.61913,-12.89668,256.8514,178.24,177.334,904.929,.3487708,.1705051,.30426,.3116925,206387,2.781,.44,.44,218.698,217.538
"YEM","Yemen",391374.2,15.79152,47.82412,999.8261,140.977,141.356,1917.82,1,1,.3914412,.3956571,1.43e+07,92.355,.38,.39,194.29,193.691
"ZAF","South Africa",1226429,-29.0511,25.21948,1034.837,306.891,317.134,1020.64,.0377543,.0433817,.1995835,.2026207,3.70e+07,441.764,.38,.38,529.197,528.379
"ZAR","Zaire",2346334,-2.920276,23.7722,726.0577,1115.39,1164.33,1248.28,1,1,.0045923,.0092272,4.52e+07,457.362,.01,.03,1204.54,1295.97
"ZMB","Zambia",760305.1,-13.49506,27.95338,1138.441,992.196,999.62,1196.5,1,1,0,0,8052451,87.918,0,0,1034.47,1033.64
"ZWE","Zimbabwe",394272.1,-19.05584,30.06353,961.7211,489.782,550.208,559.467,1,1,0,0,1.08e+07,298.336,0,0,520.268,519.556
