World_Bank_income_group,date,population,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_90_top,cumulative_estimated_daily_excess_deaths_ci_50_top,cumulative_estimated_daily_excess_deaths_ci_50_bot,cumulative_estimated_daily_excess_deaths_ci_90_bot,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_raw_estimate,cumulative_daily_excess_deaths,cumulative_daily_covid_deaths
High income,2020-12-21,1236898426,1076558.9933562872,1123815.6816299001,1120400.4693313101,1095295.6365609986,1054284.2289331467,1034323.9328630229,1029120.9881717358,76521836.08816932,1062803.2790023517,783264.419
High income,2020-12-28,1236898426,1131847.1939819322,1179850.8261056244,1176673.3894769251,1150126.041335245,1109914.4713920415,1088871.2419041633,1083663.431070681,80428770.72591992,1117066.2600822211,825414.415
High income,2020-05-11,1236898426,272882.8062449353,296914.7228826832,292062.7507239732,276513.49897201854,257377.98699189257,237982.16798787078,233078.56622592508,21478893.463081997,298317.96476502775,241731.147
High income,2020-05-18,1236898426,287581.11936921655,311872.46464594593,305700.2895562809,291455.2158974487,271804.34272345813,251706.72712837256,247155.93038302276,22419097.797454722,311376.35829798225,261013.165
High income,2020-05-25,1236898426,298004.07915157784,322316.67643396737,317463.7811727057,301340.415194859,281702.01361512276,262070.8049445888,257042.28714844797,23064418.93182746,320339.15183093696,273712.194
High income,2020-06-01,1236898426,307851.11780976714,332230.92616217694,329960.64636304945,311626.3609936981,291352.98114816286,272118.77631989523,267020.8322141711,23670101.402974322,328751.40837464336,285567.212
High income,2020-06-08,1236898426,316596.79407771915,341732.3910530426,339814.3985224024,320606.2474189815,300165.42521254846,281051.05216831696,275566.4923639555,24194258.274121206,336031.36491835007,295950.228
High income,2020-06-15,1236898426,322830.06074464007,347813.4191247052,346985.34645874216,327568.60375346453,306305.11128784827,287252.51352603576,281538.470196695,24535383.945268054,340769.22146205633,304666.25
High income,2020-06-22,1236898426,332161.3188815337,357544.7567224111,356861.2567238235,337871.2265690149,316854.5808362739,296060.8513653165,290790.21885889967,25117486.416414905,348853.9780057626,313376.245
High income,2020-06-29,1236898426,342876.46965477825,369587.63198517327,367721.77148757025,348715.81772418605,327264.45207086817,306015.4109902658,301299.69955190166,25787115.687561788,358154.3845494693,320317.263
High income,2020-07-06,1236898426,353598.71314395854,381621.2562069816,379709.0073261673,360453.01013478456,337874.67972659005,316512.5757124923,311914.83805169875,26457872.09935383,367470.4458243588,326651.283
High income,2020-07-13,1236898426,365223.78465898824,394262.98498990014,391687.985775851,372705.5639751954,349485.56668272824,328550.89685400994,323680.53958214977,27220104.5111458,378057.00709924725,334279.309
High income,2020-07-20,1236898426,376394.5490414898,406197.5289943324,403176.37173423736,385337.5666357271,360641.0128300291,341103.5765049021,335258.23147402774,27954663.722937822,388259.2183741364,343098.32899999997
High income,2020-07-27,1236898426,391725.5408802619,422420.9039818556,418711.53989277495,401487.3017964552,375885.68070641323,356568.9931095847,350805.568296287,28976999.734729864,402458.32964902587,352108.33
High income,2020-08-03,1236898426,410878.12314127036,442011.86453619343,438079.50469159166,421389.71833774593,394459.6761175251,375698.67934322637,370124.24010400113,30277951.707812235,420527.1070529477,361331.348
High income,2021-04-12,1236898426,1418013.1296319372,1505230.653469557,1485449.6870253917,1444858.8267722512,1395119.5669156695,1372825.6418532708,1361478.6407834035,97739334.20953284,1357490.7529101784,1421677.453
High income,2021-04-19,1236898426,1430489.9764157813,1515840.1188287234,1506520.1351622047,1463806.5644693072,1411317.6767222795,1385083.3043909846,1377342.0185417694,97986130.45275845,1360918.478510534,1445706.486
High income,2021-04-26,1236898426,1437451.5670858482,1526612.7007989816,1520759.1138615757,1475660.4425599086,1421464.8318036888,1387503.093157902,1386661.0452598473,97983940.74312353,1360888.0658767158,1467660.488
High income,2020-01-06,1236898426,-12445.961375308529,-5355.224047967171,-7233.481384454166,-11782.158357346396,-17894.57575923951,-28888.406259878488,-30358.6549203483,0,0,0
High income,2020-01-13,1236898426,-18202.360387061315,-6861.551545858272,-7708.571902343689,-16236.93638262905,-25915.355400762655,-41643.42539886687,-44273.38498994366,0,0,0
High income,2020-01-20,1236898426,-24101.793655472677,-9526.700587995567,-13229.141530636589,-22019.89405518489,-34702.52933806022,-55976.19573615119,-59087.421466837186,-2997.9101123511623,-41.637640449321694,0
High income,2020-01-27,1236898426,-30707.614223119166,-14448.364287602391,-19215.14043626705,-29038.818273526012,-41747.4996286398,-62337.36513027874,-66697.89750940785,-329592.75515063864,-4577.677154869981,0
High income,2020-02-03,1236898426,-37365.70957606235,-20928.82087305589,-25347.514825898026,-35688.94350422864,-49694.9934787526,-69254.51546997255,-74144.88035551959,-720921.5002632149,-10012.798614766874,0
High income,2020-02-10,1236898426,-45180.49523627233,-29225.242338150023,-32585.17497163767,-43724.9325637805,-59116.945850860764,-77662.76958065788,-82767.0621965931,-1202466.0566117275,-16700.917452940663,0
High income,2020-02-17,1236898426,-54050.724146138826,-38489.78655368437,-41525.62641014314,-52723.07527592885,-69031.50022889905,-86842.57722243063,-92255.82579929887,-1725747.812960261,-23968.719624448073,3.0029999999999997
High income,2020-02-24,1236898426,-63099.43088523962,-48053.50787365032,-50646.15089145842,-61350.57149983482,-77765.58795630692,-96182.36223769587,-102035.8053319883,-2268886.4650380155,-31512.312014416882,19.005
High income,2020-03-02,1236898426,-69944.17424302427,-54552.02914530152,-57814.836445565896,-68362.02895856269,-85309.12309114347,-103046.23127508754,-109039.19047848633,-2726234.058412579,-37864.36192239693,97.006
High income,2020-03-09,1236898426,-71578.87306019093,-55427.61830014401,-58650.18712581474,-69771.55300756979,-86317.34735879175,-104604.5391289812,-110777.2216578954,-2842582.774510778,-39480.316312649695,626.0169999999999
High income,2020-03-16,1236898426,-61458.9376888205,-44602.61008954948,-47809.32022465154,-59280.15176874705,-75761.04333567062,-94372.41962710906,-100753.54151007664,-2119073.0906089735,-29431.57070290241,3033.0229999999997
High income,2020-03-23,1236898426,-33473.64473482928,-15745.761143841493,-18982.63533756869,-31094.96922833777,-47746.76413519194,-66141.79083192839,-72568.33813690035,-105404.73042989112,-1463.9545893040417,11678.023
High income,2020-03-30,1236898426,23724.271099650647,42250.60510876457,38503.93230164757,25993.02706378006,9136.607530065488,-8813.329555875836,-15393.718762509885,3994168.429749237,55474.56152429496,32804.037
High income,2021-04-05,1236898426,1410365.5231193397,1489809.803680617,1474257.1357656566,1434583.4694860536,1386958.1218110272,1365403.2922605309,1355443.897478887,98041708.70474003,1361690.398676945,1394791.454
High income,2020-04-13,1236898426,153409.11482023878,173956.63226081786,171164.43620398897,156116.93287299204,138728.10343915995,120570.85750158779,114192.22646004002,13236699.212043002,183843.04461170838,114167.088
High income,2020-04-20,1236898426,202524.8540619339,224130.82710289164,221207.48616358862,205607.00420776175,187359.5246683072,169098.99205351854,163593.79881434597,16696106.003189813,231890.36115541408,155655.101
High income,2020-04-27,1236898426,231236.27520063717,253526.824987036,250764.098712446,234712.79658902346,214921.5156400456,196986.49556905127,192168.59723200015,18668331.194336638,259282.37769911997,190270.115
High income,2021-05-03,1236898426,1444799.7130339367,1557978.0936120038,1547152.4967506488,1488148.6750212086,1425700.5445583924,1392442.2912438165,1387800.9649001514,98031172.74312353,1361544.0658767158,1487585.491
High income,2021-05-10,1236898426,1458179.568786677,1587788.7901746235,1572623.1176010736,1498342.0880846863,1429369.8753651553,1395217.0586336162,1388624.3433458859,98031172.74312353,1361544.0658767158,1505486.479
High income,2020-05-04,1236898426,252972.76815619328,275936.2940001331,272706.355643323,256959.10006579387,236617.23513592398,218299.7919582214,213476.47949472175,20137825.528709315,279692.02123207384,217949.137
High income,2020-04-06,1236898426,91563.66644220572,111017.1369880761,107054.32529563793,94176.26415664429,77068.93439314638,58787.816526673996,52459.13459374338,8845778.020896105,122858.02806800145,70307.055
Low income,2020-05-04,685980395,55746.24728324913,291731.2190722008,255625.80670530602,89256.53854496824,-21630.198938835245,-109249.72803633564,-222716.46347375278,3478.2478358416706,119.93958054626451,412.048
Low income,2020-05-18,685980395,65494.76877853623,323359.5062367852,276825.7134651433,95519.79628028236,-19859.44361407514,-116949.17788786536,-210430.49179424907,10434.743507525012,359.81874163879354,812.056
Low income,2020-05-25,685980395,70842.29325141212,336626.1743396831,287495.6842151905,101601.22408920024,-19336.80746292251,-120480.4149056932,-211668.40013714862,13912.991343366682,479.75832218505803,1026.06
Low income,2020-06-01,685980395,76712.69820730247,350685.37257980916,299852.3583337539,111696.47167441474,-16640.27319220395,-118969.80682567376,-216765.03556806117,17391.239179208354,599.6979027313225,1322.0620000000001
Low income,2020-06-08,685980395,82806.15934470255,364672.8220917808,312276.911088088,112676.11871658928,-8105.924442270957,-122538.91163085835,-221832.780762951,20869.487015050025,719.6374832775871,1637.069
Low income,2020-06-15,685980395,93961.94091531541,376646.1122847185,325471.02060305723,122374.52854827279,-3013.897629893186,-126806.06911606983,-225469.8752932985,24347.734850891695,839.5770638238515,2062.081
Low income,2020-05-11,685980395,60400.82847451169,308947.0682422131,266320.6138221405,93227.98765921788,-21229.162127608528,-113268.31083585427,-216372.577194271,6956.495671683341,239.87916109252902,593.054
Low income,2020-06-22,685980395,105056.86301443711,389278.09956971736,337994.27636462724,133538.7813647449,1167.311180374431,-131274.3701404272,-229500.62912344997,27825.982686733365,959.5166443701161,2443.091
Low income,2020-06-29,685980395,114891.92321820516,401713.15058161755,350551.3469425653,142220.37674587255,7011.910892773667,-135487.8294814089,-231681.3438644744,31304.230522575035,1079.4562249163805,2782.087
Low income,2020-07-06,685980395,124409.25926711368,414344.378534489,363511.7268712034,153999.58521718878,13675.09809782086,-139379.62283202357,-235522.927647593,35677.91882664414,1230.273062987729,3110.1
Low income,2020-07-13,685980395,134545.4957800104,427594.4244686423,376392.2779210859,170139.14126298274,19179.039782360247,-141591.6034807705,-239354.01750827132,40051.607130713244,1381.0899010590774,3487.106
Low income,2020-07-20,685980395,145655.23757198636,439361.2816244105,400382.92409175046,179729.8538553235,22986.277458765184,-130265.50935705604,-243280.64223748728,44425.29543478235,1531.9067391304259,3792.117
Low income,2020-04-06,685980395,45575.230381856454,222501.8093124365,217016.32400788076,68495.64931150085,-15259.159679660472,-83285.17017330423,-189763.5806600809,0,0,79.023
Low income,2020-04-13,685980395,47470.35497851443,239796.46965523978,224952.88281613815,71222.53414101648,-16911.779436545068,-90900.19006996161,-208549.3238980941,0,0,117.03999999999999
Low income,2020-04-20,685980395,49295.97210460411,258025.63305066884,235811.4190042092,75909.76098110338,-19869.678356045482,-97649.88390357875,-227451.1177847368,0,0,185.038
Low income,2020-04-27,685980395,51877.76576062573,274547.7263761236,245705.1205162871,82383.20880395154,-21726.46287670138,-104176.50919563997,-228577.09323920615,0,0,286.041
Low income,2020-01-01,685980395,3482.812935157826,16416.296267279962,14077.259947888428,4367.707496830309,-1233.221906830469,-8002.127448187383,-14020.890709961037,0,0,0
Low income,2020-01-06,685980395,6975.855350091813,32863.63961879344,26620.003373230982,8725.75611341124,-2470.6280005132685,-15911.69624989387,-27936.043628545092,0,0,0
Low income,2020-01-13,685980395,10501.480949321212,49276.50536336776,42435.94522136997,12788.168245981904,-3681.4273279375166,-23777.58820394389,-41898.74178246811,0,0,0
Low income,2020-01-20,685980395,14000.063528252016,65775.57640679757,54064.416455249906,17350.674364085535,-4820.789062950871,-31677.244995271496,-55820.95194198635,0,0,0
Low income,2020-01-27,685980395,17557.707410221366,82062.2155066922,66880.68787960218,21685.593178203817,-5982.885935987839,-39601.60634347126,-69774.03512775517,0,0,0
Low income,2020-02-03,685980395,21043.228549709373,98340.04907526317,79693.41302699853,25956.636166263717,-7302.950743145353,-47745.18788653995,-83695.17733548151,0,0,0
Low income,2020-02-10,685980395,24705.040755334754,114692.35366546211,95165.17964518642,29942.047802407385,-8806.826072857411,-55701.61983026286,-95310.60246062287,0,0,0
Low income,2020-02-17,685980395,27413.604808913773,130998.3702852057,110072.84540141994,33683.75395802756,-8844.815164368558,-54132.332707402085,-100372.93134685053,0,0,0
Low income,2020-02-24,685980395,30051.39332558159,147123.50193385367,125673.5069647596,37156.00016994824,-8862.97758379443,-53691.834474364594,-107789.75094480033,0,0,0
Low income,2020-03-02,685980395,33477.6782660488,163653.47328529658,140222.42253741864,43143.046787221574,-10070.447993061405,-53431.44096214411,-112357.2005860665,0,0,0
Low income,2020-03-09,685980395,36663.98868003244,180436.53621033035,155735.31044761572,50897.93860269945,-11334.788212665484,-56726.27627463807,-118165.89156983083,0,0,0
Low income,2020-03-16,685980395,39243.366953999146,196815.1901366894,170892.34211965094,57238.17777051405,-12368.80792750392,-60665.97104301129,-132441.82909758438,0,0,0
Low income,2020-03-23,685980395,41491.58357657105,207430.26901458172,186105.16043628295,62168.25835528481,-13048.266816619867,-68158.07218539433,-151913.24268341987,0,0,6.999999999999999
Low income,2020-07-27,685980395,156055.69515167788,450884.1315056565,412713.37791831273,191729.1156623554,30452.326654929333,-118356.1485161423,-247105.3959152453,48798.98373885145,1682.723577201774,4126.122
Low income,2020-08-03,685980395,165986.4061361701,462147.0710678851,424466.86472542916,203178.10800211388,43035.64536728662,-106056.26873345401,-250761.7128350129,53172.67204292055,1833.5404152731226,4391.135
Low income,2020-08-10,685980395,176878.32887931887,474291.4125242552,437889.3521822413,219861.255167639,47583.35728522963,-93394.04263397705,-253047.3933633971,57546.360346989655,1984.357253344471,4723.145
Low income,2020-08-17,685980395,190230.15557223524,486089.4002915642,455463.752145539,236381.39977306608,52967.61096512458,-87608.53955478614,-258507.77100352108,61920.04865105876,2135.1740914158195,5105.156
Low income,2021-04-26,685980395,654090.1543698543,1137419.0470623383,1041774.9450241335,735918.046178273,317159.4195320622,6729.372255866297,-314124.1337963973,236329.52642837176,8149.29401477144,18256.462
Low income,2021-05-03,685980395,662988.5634467169,1158047.6049083725,1051790.0383465083,745715.6197850531,323009.40680949995,10949.414361932939,-318106.51166879677,236329.52642837176,8149.29401477144,18750.473
Low income,2021-05-10,685980395,672996.1124654774,1178814.8339815622,1061746.0913641586,756152.5265850867,329557.4157958566,17034.393791574654,-329522.46378345374,236329.52642837176,8149.29401477144,19281.465
Low income,2020-09-07,685980395,222620.43218685183,523399.34630716004,509892.17258084007,266998.9972266294,70127.1485872135,-84012.49717509098,-272341.7358340104,75041.11356326607,2587.6246056298646,5851.167
Low income,2020-09-14,685980395,231753.3538748774,535220.1869464277,526868.7165267788,279086.2906047081,74375.79291619698,-83515.98732362922,-277002.1797500637,79414.80186733518,2738.441443701213,6047.174
Low income,2020-09-21,685980395,241102.20019337442,548624.1002026788,543925.8400531369,290163.99913836585,79677.8532264544,-82806.66958080207,-278886.8763926083,83788.49017140428,2889.2582817725615,6225.177
Low income,2020-09-28,685980395,249834.85283752662,564178.8002779813,558175.0920569234,299934.21456932893,83567.09991009341,-81993.24909375396,-283628.8959307666,88162.17847547338,3040.0751198439098,6385.176
Low income,2020-10-05,685980395,259713.65690227854,586217.502980155,569952.364852719,312429.84783256275,88324.57876255008,-81832.78265477992,-285230.6539540995,99559.66677954249,3433.0919579152583,6505.184
Low income,2020-10-12,685980395,269524.34775773244,606375.4532960895,582126.6454105559,324125.9557866948,93126.09650523975,-81872.13405090327,-286801.2180233001,110957.1550836116,3826.1087959866068,6667.185
Low income,2020-10-19,685980395,279516.08213865466,629029.3474049933,594369.9390096129,337636.98068856087,98300.9492522992,-81165.03920083788,-288683.1050543115,122354.6433876807,4219.125634057955,6818.203
Low income,2020-10-26,685980395,288927.42147440714,649874.7693932387,611111.2166523691,346931.3101512999,102519.94263600005,-77770.93892499794,-291100.5142935496,133752.13169174982,4612.142472129303,6981.219
Low income,2020-11-02,685980395,299381.4766096126,668653.3501482251,626647.9605670272,359697.75188395346,105878.2408786786,-74347.61323432787,-292951.5919486411,145149.6199958189,5005.159310200652,7121.24
Low income,2020-11-09,685980395,310120.1668865782,685244.6975153493,641590.8509365611,370832.90552685905,108855.0018811161,-76409.56602991337,-291484.8963735362,156547.10829988803,5398.176148272,7553.245
Low income,2020-11-16,685980395,320571.6203579253,702358.8041242458,657774.2850480943,385560.9648851952,112349.42300259625,-78275.31030017878,-291599.9631392166,167944.59660395712,5791.192986343349,7759.262
Low income,2020-03-30,685980395,43826.919474014685,213472.6661754793,205036.53011438355,65975.04624176495,-13853.947311280572,-75125.09210469424,-170806.17547990088,0,0,34.013
Low income,2021-04-05,685980395,613085.9749481378,1076699.9921788184,987936.7261761734,693741.897511649,303367.2813068526,-1759.597666821926,-312602.4631533809,236329.52642837176,8149.29401477144,16307.424
Low income,2021-04-12,685980395,626752.4982681426,1097088.9144369676,1002673.5373939116,711680.1993364664,308626.80722311215,986.1859767276273,-312541.51335291186,236329.52642837176,8149.29401477144,16872.429
Low income,2021-04-19,685980395,641936.8981324394,1117258.5602108452,1022146.248861656,730347.6235702374,313273.0869728801,3603.7881088941485,-312003.3721126413,236329.52642837176,8149.29401477144,17629.437
Low income,2020-08-31,685980395,213335.34196458728,510732.71974408417,493085.6216662246,253631.77435593004,64644.4039660054,-84411.79834858753,-269931.9117996383,70667.42525919697,2436.8077675585164,5610.164
Low income,2021-01-04,685980395,424656.3073174867,846790.6673128586,766859.6506434229,484734.5624440685,178619.82014948144,-34411.643291997134,-296810.09551904135,236329.52642837176,8149.29401477144,10254.342
Low income,2021-01-11,685980395,441045.1652006868,859944.0937282748,781262.8621163969,509646.7453319606,201112.79530898758,-32068.154951829994,-299997.2651591718,236329.52642837176,8149.29401477144,10614.331
Low income,2021-01-18,685980395,458447.4836856645,873869.4930787011,796700.0165423905,530764.7841958575,209964.35663508752,-28177.41812159249,-300309.14977386524,236329.52642837176,8149.29401477144,11158.343
Low income,2021-01-25,685980395,477440.6472349025,886331.3201351858,815543.1770076609,551476.7257464827,218513.5236146369,-24271.49663806999,-300141.70792036684,236329.52642837176,8149.29401477144,11850.363
Low income,2021-02-01,685980395,493012.1322445483,899109.1491954537,833697.2183372665,566837.8920006185,226243.16461476678,-21480.720527664234,-300796.7019098157,236329.52642837176,8149.29401477144,12315.366
Low income,2021-02-08,685980395,507218.3039494921,914329.3411379384,850532.206067178,581448.989135073,233815.75630119932,-19371.82896498842,-302107.3885077273,236329.52642837176,8149.29401477144,12758.361
Low income,2021-02-15,685980395,520763.71699903865,934609.1475499484,867110.3407765544,589722.6689028575,240119.8646422025,-17902.956306441087,-304433.4271534674,236329.52642837176,8149.29401477144,13124.37
Low income,2021-02-22,685980395,532185.5110493765,954592.9133671788,882776.5737081466,596408.2641273845,246899.9460627186,-16759.20043744899,-307057.2994495667,236329.52642837176,8149.29401477144,13480.369
Low income,2021-03-01,685980395,543391.7084760349,974557.6095321358,902402.956735909,612084.2337379269,254023.38698014084,-15390.296960930571,-309901.90323518525,236329.52642837176,8149.29401477144,13812.365
Low income,2021-03-08,685980395,555137.9737975125,995093.3211362052,922017.8309400361,629517.333920564,262448.2051651379,-12266.899042542793,-312307.47445958667,236329.52642837176,8149.29401477144,14153.37
Low income,2021-03-15,685980395,570352.2059410947,1014824.8924946537,936478.1208098897,649284.410002058,273031.95151674695,-9192.513864376633,-312506.49431860464,236329.52642837176,8149.29401477144,14604.380000000001
Low income,2021-03-22,685980395,586073.795637735,1035137.1719679151,950621.2236327205,662390.1539766428,283713.5786704916,-6471.1053777616025,-312612.5939731175,236329.52642837176,8149.29401477144,15086.407000000001
Low income,2021-03-29,685980395,599608.4431648208,1056258.551577188,970904.1000785624,676244.0147917394,293607.8917114911,-3630.95794066612,-312836.56085768435,236329.52642837176,8149.29401477144,15677.417
Low income,2020-11-30,685980395,346957.226155058,739791.73627554,690936.0151498261,411704.18272609456,119752.63478578748,-80535.35024292945,-293148.1757829787,190739.57321209533,6577.226662486046,8383.291
Low income,2020-12-07,685980395,360771.6545440455,762107.0213149831,707379.1808424232,424378.6141825463,125799.68424594506,-84169.7235987379,-294247.28144327766,202137.06151616445,6970.243500557394,8690.297
Low income,2020-12-14,685980395,375714.1313122275,785237.3061805697,723997.585111985,437182.0572993022,130696.5495369172,-68796.09780000156,-294815.3972865554,213534.54982023354,7363.260338628743,9030.294
Low income,2020-08-24,685980395,201784.47775781743,497787.445882301,473451.98057562986,248332.3257013562,58279.751212078954,-85752.34300900513,-264193.55597111967,66293.73695512787,2285.9909294871677,5377.162
Low income,2020-12-28,685980395,408081.6411687825,832406.5375080531,752520.4327882414,469534.30874485435,157914.66672597188,-35836.244323545245,-295523.52847887465,236329.52642837176,8149.29401477144,9952.327
Low income,2020-11-23,685980395,331317.43905629835,720122.6761388346,674721.1282467808,398819.0517333751,113200.77639905237,-74617.27968458216,-293345.8393179764,179342.08490802624,6184.209824414697,8081.276
Low income,2020-12-21,685980395,390525.7525528754,810546.1560342022,738017.4741241079,450367.5386296147,143576.43839190545,-52607.726150552124,-294901.14396615786,224932.03812430266,7756.277176700091,9645.3
Lower middle income,2020-01-06,2954075487,28505.01437707973,73337.27251247106,56904.73805594935,28505.01437707973,-10183.26823858808,-32416.315692227443,-69329.75395717795,0,0,0
